Humidity,Tepmrature,Label
43.82,30.21,1
43.79,30.2,1
43.79,30.19,1
43.79,30.19,1
43.79,30.19,1
43.79,30.19,1
43.79,30.19,1
43.79,30.19,1
43.79,30.21,1
43.79,30.22,1
43.82,30.23,1
43.82,30.23,1
43.79,30.23,1
43.79,30.24,1
43.82,30.24,1
43.85,30.23,1
43.85,30.23,1
43.85,30.23,1
43.85,30.22,1
43.85,30.21,1
43.85,30.22,1
43.85,30.22,1
43.85,30.22,1
43.88,30.22,1
43.92,30.21,1
43.88,30.21,1
43.85,30.22,1
43.82,30.23,1
43.82,30.23,1
43.79,30.23,1
43.82,30.23,1
43.79,30.23,1
43.82,30.24,1
43.85,30.24,1
43.88,30.24,1
43.92,30.23,1
43.92,30.23,1
43.92,30.22,1
43.85,30.23,1
43.88,30.24,1
43.88,30.21,1
43.92,30.22,1
43.88,30.19,1
43.88,30.21,1
43.92,30.19,1
43.92,30.2,1
43.92,30.19,1
43.98,30.19,1
43.98,30.19,1
44.02,30.19,1
44.02,30.19,1
43.98,30.2,1
43.98,30.2,1
44.05,30.19,1
44.05,30.19,1
44.05,30.2,1
44.02,30.21,1
44.05,30.2,1
44.05,30.19,1
44.05,30.19,1
44.08,30.19,1
44.05,30.21,1
44.05,30.21,1
44.02,30.21,1
43.98,30.19,1
43.98,30.18,1
44.02,30.18,1
44.02,30.18,1
43.98,30.19,1
43.98,30.19,1
43.95,30.19,1
43.98,30.19,1
43.98,30.19,1
43.98,30.19,1
44.05,30.18,1
44.05,30.17,1
44.05,30.17,1
44.12,30.16,1
44.12,30.15,1
44.12,30.15,1
44.12,30.15,1
44.08,30.15,1
44.05,30.15,1
44.08,30.13,1
44.12,30.13,1
44.12,30.13,1
44.15,30.13,1
44.18,30.12,1
44.15,30.14,1
44.15,30.15,1
44.15,30.14,1
44.15,30.16,1
44.18,30.14,1
44.18,30.14,1
44.15,30.15,1
44.15,30.15,1
44.15,30.15,1
44.15,30.15,1
44.18,30.13,1
44.18,30.12,1
44.18,30.12,1
44.22,30.11,1
44.25,30.1,1
44.25,30.09,1
44.25,30.08,1
44.25,30.09,1
44.25,30.1,1
44.28,30.1,1
44.35,30.09,1
44.35,30.09,1
44.35,30.09,1
44.32,30.11,1
44.28,30.11,1
44.28,30.12,1
44.25,30.14,1
44.22,30.16,1
44.18,30.17,1
44.22,30.15,1
44.22,30.15,1
44.25,30.14,1
44.28,30.14,1
44.28,30.13,1
44.28,30.13,1
44.28,30.13,1
44.25,30.13,1
44.25,30.13,1
44.25,30.12,1
44.25,30.11,1
44.25,30.11,1
44.25,30.12,1
44.25,30.13,1
44.22,30.15,1
44.22,30.17,1
44.18,30.18,1
44.18,30.18,1
44.18,30.17,1
44.18,30.18,1
44.18,30.17,1
44.18,30.18,1
44.15,30.19,1
44.18,30.18,1
44.15,30.18,1
44.12,30.19,1
44.18,30.18,1
44.25,30.2,1
44.25,30.19,1
44.32,30.16,1
44.28,30.17,1
44.25,30.17,1
44.22,30.2,1
44.18,30.21,1
44.12,30.23,1
44.12,30.22,1
44.12,30.23,1
44.15,30.22,1
44.15,30.24,1
44.12,30.27,1
44.05,30.28,1
44.05,30.27,1
44.05,30.29,1
44.02,30.27,1
44.05,30.25,1
43.98,30.25,1
44.05,30.23,1
44.05,30.23,1
44.05,30.24,1
44.08,30.22,1
44.12,30.22,1
44.12,30.23,1
44.12,30.23,1
44.08,30.23,1
44.12,30.23,1
44.12,30.23,1
44.12,30.23,1
44.08,30.25,1
44.05,30.26,1
43.98,30.28,1
43.98,30.29,1
43.95,30.3,1
43.95,30.33,1
43.92,30.34,1
43.92,30.33,1
43.92,30.31,1
43.88,30.29,1
43.88,30.29,1
43.85,30.29,1
43.85,30.28,1
43.85,30.28,1
43.82,30.28,1
43.79,30.27,1
43.79,30.27,1
43.82,30.28,1
43.85,30.28,1
43.92,30.32,1
43.88,30.33,1
43.85,30.31,1
43.95,30.27,1
43.95,30.27,1
43.95,30.27,1
43.95,30.27,1
43.92,30.26,1
43.95,30.27,1
43.92,30.26,1
43.95,30.27,1
43.92,30.27,1
43.85,30.27,1
43.85,30.28,1
43.92,30.27,1
43.92,30.25,1
43.95,30.24,1
43.95,30.23,1
43.98,30.23,1
44.02,30.23,1
44.02,30.23,1
44.05,30.23,1
44.02,30.22,1
44.05,30.23,1
44.12,30.23,1
44.12,30.26,1
44.12,30.27,1
44.08,30.29,1
44.05,30.3,1
44.05,30.32,1
44.05,30.34,1
44.05,30.34,1
44.05,30.33,1
43.98,30.33,1
43.98,30.32,1
43.98,30.32,1
43.98,30.31,1
44.02,30.3,1
44.12,30.32,1
44.12,30.33,1
44.15,30.32,1
44.15,30.37,1
44.12,30.37,1
44.12,30.36,1
44.08,30.35,1
44.05,30.35,1
44.05,30.33,1
44.02,30.32,1
44.05,30.29,1
44.12,30.29,1
44.05,30.29,1
44.05,30.27,1
44.12,30.28,1
44.18,30.29,1
44.15,30.29,1
44.25,30.29,1
44.28,30.31,1
44.18,30.3,1
44.25,30.29,1
44.28,30.29,1
44.38,30.28,1
44.42,30.28,1
44.45,30.27,1
44.45,30.27,1
44.45,30.25,1
44.52,30.24,1
44.52,30.24,1
44.48,30.23,1
44.52,30.23,1
44.58,30.23,1
44.61,30.21,1
44.61,30.22,1
44.65,30.23,1
44.68,30.25,1
44.65,30.27,1
44.58,30.26,1
44.55,30.25,1
44.52,30.24,1
44.58,30.23,1
44.58,30.23,1
44.52,30.25,1
44.52,30.23,1
44.52,30.23,1
44.65,30.23,1
44.71,30.26,1
44.68,30.28,1
44.65,30.28,1
44.68,30.28,1
44.65,30.26,1
44.71,30.27,1
44.78,30.28,1
44.75,30.31,1
44.71,30.33,1
44.71,30.35,1
44.65,30.35,1
44.61,30.35,1
44.55,30.34,1
44.58,30.34,1
44.58,30.33,1
44.58,30.35,1
44.61,30.33,1
44.71,30.28,1
44.75,30.27,1
44.78,30.29,1
44.85,30.31,1
44.78,30.33,1
44.78,30.35,1
44.78,30.37,1
44.75,30.37,1
44.71,30.37,1
44.71,30.37,1
44.71,30.38,1
44.68,30.37,1
44.71,30.37,1
44.71,30.38,1
44.78,30.35,1
44.78,30.34,1
44.85,30.33,1
44.91,30.31,1
44.98,30.3,1
45.01,30.29,1
45.01,30.27,1
45.01,30.26,1
44.98,30.23,1
45.01,30.25,1
44.91,30.25,1
44.95,30.24,1
45.01,30.23,1
45.04,30.21,1
45.11,30.21,1
45.11,30.2,1
45.11,30.19,1
45.18,30.17,1
45.18,30.17,1
45.24,30.15,1
45.21,30.17,1
45.24,30.17,1
45.24,30.18,1
45.24,30.17,1
45.28,30.15,1
45.31,30.15,1
45.31,30.17,1
45.31,30.16,1
45.28,30.15,1
45.31,30.15,1
45.31,30.15,1
45.31,30.14,1
45.31,30.13,1
45.28,30.15,1
45.24,30.14,1
45.31,30.15,1
45.44,30.12,1
45.57,30.11,1
45.84,30.1,1
45.97,30.08,1
46.03,30.08,1
46.16,30.05,1
46.16,30.06,1
46.16,30.08,1
46.1,30.07,1
46.1,30.07,1
46.2,30.05,1
46.16,30.04,1
46.13,30.05,1
46.1,30.03,1
46.1,30.03,1
46.1,30.04,1
46.1,30.03,1
46.16,30.01,1
46.16,30,1
46.23,30,1
46.26,30,1
46.23,30,1
46.2,30,1
46.16,30.01,1
46.16,30.01,1
46.2,30.01,1
46.16,29.99,1
46.13,30,1
46.13,29.99,1
46.13,30,1
46.1,30.01,1
46.07,30.01,1
46.03,30.01,1
46.1,29.99,1
46.03,29.99,1
46.03,29.99,1
46.03,29.98,1
46,29.97,1
46.03,29.96,1
46.03,29.95,1
46,29.95,1
46,29.94,1
46,29.94,1
46.03,29.92,1
46.1,29.93,1
46.1,29.92,1
46.1,29.92,1
46.1,29.93,1
45.97,29.92,1
45.9,29.92,1
45.9,29.91,1
45.9,29.88,1
45.97,29.88,1
46.03,29.85,1
46.1,29.83,1
46.26,29.81,1
46.3,29.79,1
46.33,29.78,1
46.36,29.77,1
46.49,29.75,1
46.62,29.73,1
46.62,29.75,1
46.56,29.77,1
46.49,29.76,1
46.49,29.76,1
46.49,29.76,1
46.43,29.77,1
46.36,29.75,1
46.36,29.72,1
46.36,29.7,1
46.46,29.7,1
46.52,29.72,1
46.49,29.75,1
46.46,29.74,1
46.49,29.73,1
46.49,29.74,1
46.49,29.74,1
46.43,29.73,1
46.39,29.71,1
46.39,29.73,1
46.36,29.72,1
46.43,29.71,1
46.56,29.69,1
46.59,29.66,1
46.62,29.66,1
46.62,29.64,1
46.66,29.66,1
46.62,29.67,1
46.62,29.67,1
46.59,29.67,1
46.56,29.67,1
46.56,29.65,1
46.62,29.65,1
46.56,29.65,1
46.56,29.66,1
46.56,29.66,1
46.49,29.65,1
46.52,29.64,1
46.59,29.64,1
46.66,29.62,1
46.72,29.63,1
46.72,29.61,1
46.79,29.63,1
46.82,29.62,1
46.95,29.6,1
46.98,29.61,1
47.08,29.61,1
47.11,29.62,1
47.11,29.61,1
47.15,29.63,1
47.18,29.62,1
47.21,29.63,1
47.15,29.64,1
47.15,29.63,1
47.08,29.63,1
47.08,29.6,1
47.11,29.59,1
47.18,29.58,1
47.21,29.58,1
47.18,29.58,1
47.15,29.57,1
47.15,29.56,1
47.15,29.55,1
47.18,29.54,1
47.21,29.55,1
47.28,29.57,1
47.28,29.57,1
47.34,29.57,1
47.31,29.58,1
47.28,29.59,1
47.24,29.6,1
47.24,29.6,1
47.15,29.61,1
47.15,29.62,1
47.05,29.65,1
47.02,29.66,1
46.95,29.65,1
46.95,29.67,1
46.89,29.67,1
46.82,29.68,1
46.82,29.69,1
46.75,29.7,1
46.79,29.71,1
46.79,29.71,1
46.75,29.72,1
46.72,29.75,1
46.69,29.76,1
46.62,29.77,1
46.62,29.78,1
46.62,29.8,1
46.59,29.82,1
46.56,29.82,1
46.56,29.85,1
46.52,29.87,1
46.46,29.88,1
46.49,29.87,1
46.49,29.87,1
46.49,29.87,1
46.49,29.89,1
46.49,29.88,1
46.49,29.89,1
46.49,29.9,1
46.43,29.89,1
46.43,29.91,1
46.43,29.91,1
46.43,29.93,1
46.39,29.95,1
46.36,29.95,1
46.36,29.95,1
46.3,29.98,1
46.3,29.98,1
46.26,30.01,1
46.23,30.03,1
46.2,30.02,1
46.2,30.03,1
46.2,30.03,1
46.16,30.03,1
46.23,30.03,1
46.23,30.03,1
46.23,30.02,1
46.3,30.01,1
46.33,30.03,1
46.36,30.03,1
46.36,30.02,1
46.36,30.03,1
46.43,30.03,1
46.43,30.03,1
46.43,30.04,1
46.39,30.05,1
46.43,30.05,1
46.39,30.07,1
46.39,30.06,1
46.39,30.05,1
46.46,30.04,1
46.49,30.01,1
46.56,29.97,1
46.62,29.98,1
46.59,29.97,1
46.56,29.99,1
46.52,30.02,1
46.46,30,1
46.43,30.02,1
46.36,30.03,1
46.33,30.01,1
46.3,30.01,1
46.3,30.03,1
46.26,30.02,1
46.3,30.02,1
46.3,30.02,1
46.3,30.03,1
46.3,30.03,1
46.26,30.04,1
46.23,30.03,1
46.23,30.03,1
46.23,30.03,1
46.23,30.03,1
46.2,30.03,1
46.16,30.05,1
46.1,30.05,1
46.07,30.05,1
46.1,30.01,1
46.1,30.01,1
46.1,29.99,1
46.16,29.96,1
46.16,29.97,1
46.2,29.97,1
46.23,29.96,1
46.23,29.95,1
46.3,29.96,1
46.3,29.95,1
46.36,29.96,1
46.3,29.97,1
46.3,29.95,1
46.33,29.92,1
46.36,29.91,1
46.39,29.89,1
46.39,29.89,1
46.43,29.89,1
46.36,29.9,1
46.33,29.93,1
46.3,29.91,1
46.26,29.94,1
46.23,29.96,1
46.2,29.95,1
46.16,29.97,1
46.16,29.97,1
46.13,29.99,1
46.13,29.98,1
46.1,29.99,1
46.07,30.01,1
46,30.01,1
46,30.01,1
45.97,30.01,1
45.97,29.99,1
45.97,29.99,1
45.97,29.99,1
46.03,29.99,1
46.03,29.99,1
46.07,30,1
46.07,30.01,1
46.03,29.99,1
46.03,30,1
46.03,29.99,1
46.1,29.99,1
46.13,30,1
46.16,29.99,1
46.1,29.96,1
46.13,29.93,1
46.16,29.93,1
46.2,29.92,1
46.26,29.91,1
46.3,29.9,1
46.43,29.89,1
46.52,29.9,1
46.59,29.91,1
46.66,29.89,1
46.62,29.87,1
46.69,29.86,1
46.82,29.82,1
46.89,29.78,1
46.92,29.79,1
46.89,29.79,1
46.89,29.75,1
46.92,29.71,1
46.95,29.73,1
46.85,29.69,1
46.95,29.66,1
46.95,29.62,1
46.95,29.64,1
46.89,29.61,1
46.95,29.63,1
46.95,29.61,1
46.95,29.61,1
47.08,29.61,1
47.08,29.61,1
47.08,29.61,1
47.05,29.61,1
47.08,29.6,1
47.05,29.61,1
47.08,29.58,1
47.08,29.54,1
47.11,29.53,1
47.15,29.53,1
47.28,29.51,1
47.34,29.51,1
47.41,29.51,1
47.34,29.49,1
47.38,29.45,1
47.47,29.46,1
47.57,29.45,1
47.6,29.47,1
47.51,29.47,1
47.47,29.45,1
47.44,29.45,1
47.44,29.44,1
47.47,29.44,1
47.47,29.44,1
47.47,29.43,1
47.44,29.41,1
47.54,29.42,1
47.64,29.4,1
47.67,29.39,1
47.67,29.4,1
47.67,29.39,1
47.64,29.4,1
47.6,29.39,1
47.57,29.4,1
47.57,29.39,1
47.51,29.37,1
47.44,29.37,1
47.41,29.38,1
47.47,29.36,1
47.54,29.38,1
47.54,29.38,1
47.6,29.38,1
47.6,29.39,1
47.67,29.38,1
47.73,29.36,1
47.77,29.36,1
47.8,29.35,1
47.73,29.34,1
47.64,29.33,1
47.6,29.3,1
47.6,29.29,1
47.6,29.31,1
47.6,29.29,1
47.67,29.29,1
47.67,29.29,1
47.67,29.3,1
47.67,29.31,1
47.67,29.31,1
47.67,29.3,1
47.7,29.28,1
47.7,29.28,1
47.77,29.27,1
47.77,29.26,1
47.8,29.26,1
47.8,29.25,1
47.83,29.27,1
47.8,29.25,1
47.73,29.25,1
47.77,29.27,1
47.73,29.26,1
47.67,29.27,1
47.67,29.28,1
47.6,29.29,1
47.6,29.29,1
47.57,29.28,1
47.6,29.27,1
47.6,29.26,1
47.6,29.25,1
47.64,29.26,1
47.64,29.27,1
47.67,29.27,1
47.73,29.26,1
47.8,29.24,1
47.9,29.24,1
47.93,29.24,1
47.9,29.25,1
47.86,29.25,1
47.83,29.24,1
47.86,29.23,1
47.9,29.23,1
47.93,29.21,1
47.99,29.2,1
47.99,29.21,1
48.03,29.2,1
48.06,29.21,1
48.03,29.2,1
48.06,29.18,1
48.12,29.16,1
48.19,29.17,1
48.19,29.17,1
48.25,29.17,1
48.29,29.17,1
48.35,29.14,1
48.35,29.13,1
48.32,29.13,1
48.32,29.12,1
48.35,29.13,1
48.32,29.13,1
48.25,29.14,1
48.25,29.13,1
48.29,29.12,1
48.35,29.12,1
48.32,29.13,1
48.32,29.14,1
48.35,29.14,1
48.42,29.13,1
48.42,29.13,1
48.45,29.12,1
48.42,29.13,1
48.38,29.14,1
48.38,29.12,1
48.42,29.12,1
48.45,29.11,1
48.45,29.11,1
48.51,29.11,1
48.58,29.11,1
48.64,29.12,1
48.64,29.09,1
48.71,29.11,1
48.74,29.09,1
48.77,29.1,1
48.84,29.09,1
48.9,29.09,1
48.9,29.09,1
48.9,29.1,1
48.9,29.08,1
48.94,29.07,1
48.9,29.07,1
48.77,29.07,1
48.71,29.07,1
48.74,29.07,1
48.77,29.08,1
48.77,29.08,1
48.84,29.07,1
48.94,29.07,1
49.13,29.05,1
49.16,29.04,1
49.23,29.03,1
49.23,29.04,1
49.16,29.05,1
49.16,29.04,1
49.03,29.07,1
49.03,29.06,1
48.9,29.07,1
48.84,29.06,1
48.84,29.07,1
48.87,29.06,1
48.9,29.06,1
48.74,29.05,1
48.64,29.04,1
48.64,29.05,1
48.64,29.04,1
48.64,29.03,1
48.64,29.03,1
48.64,29.03,1
48.64,29.03,1
48.58,29.03,1
48.64,29.02,1
48.68,29.01,1
48.74,29.03,1
48.77,29.06,1
48.77,29.07,1
48.74,29.09,1
48.74,29.08,1
48.74,29.09,1
48.74,29.08,1
48.71,29.09,1
48.71,29.09,1
48.68,29.1,1
48.71,29.1,1
48.71,29.1,1
48.68,29.11,1
48.68,29.1,1
48.68,29.11,1
48.71,29.11,1
48.71,29.12,1
48.71,29.12,1
48.71,29.13,1
48.77,29.14,1
48.81,29.14,1
48.77,29.14,1
48.81,29.15,1
48.77,29.17,1
48.81,29.18,1
48.81,29.17,1
48.77,29.18,1
48.81,29.19,1
48.77,29.19,1
48.77,29.21,1
48.84,29.21,1
48.81,29.21,1
48.84,29.23,1
48.84,29.23,1
48.84,29.23,1
48.84,29.22,1
48.87,29.24,1
48.9,29.25,1
48.9,29.24,1
48.94,29.24,1
48.84,29.22,1
48.81,29.21,1
48.87,29.19,1
48.9,29.2,1
48.84,29.19,1
48.9,29.22,1
49,29.2,1
49.03,29.2,1
49.06,29.19,1
49.03,29.19,1
49.03,29.17,1
49.03,29.15,1
49.1,29.15,1
49.1,29.15,1
49.06,29.14,1
49.06,29.13,1
49.03,29.13,1
49.03,29.1,1
49.06,29.08,1
49.1,29.06,1
49.1,29.06,1
49.06,29.06,1
49.06,29.03,1
49.1,29.03,1
49.1,29.03,1
49.1,29.03,1
49.1,29.01,1
49.1,29,1
49.1,28.99,1
49.1,28.95,1
49.13,28.93,1
49.16,28.9,1
49.23,28.87,1
49.23,28.84,1
49.26,28.83,1
49.29,28.82,1
49.32,28.81,1
49.29,28.79,1
49.29,28.76,1
49.26,28.76,1
49.23,28.75,1
49.23,28.73,1
49.23,28.72,1
49.23,28.72,1
49.19,28.74,1
49.13,28.74,1
49.03,28.74,1
48.9,28.75,1
48.81,28.74,1
48.74,28.72,1
48.84,28.72,1
48.9,28.73,1
48.94,28.73,1
48.97,28.73,1
48.97,28.73,1
49,28.74,1
49,28.76,1
48.97,28.78,1
48.97,28.77,1
48.97,28.78,1
48.81,28.75,1
48.77,28.74,1
48.81,28.71,1
48.84,28.71,1
48.94,28.69,1
49.03,28.68,1
49.1,28.68,1
49.13,28.69,1
49.16,28.66,1
49.16,28.66,1
49.29,28.64,1
49.39,28.62,1
49.42,28.6,1
49.39,28.59,1
49.39,28.57,1
49.36,28.57,1
49.39,28.57,1
49.45,28.57,1
49.48,28.57,1
49.45,28.57,1
49.42,28.57,1
49.42,28.58,1
49.42,28.59,1
49.42,28.59,1
49.55,28.59,1
49.55,28.6,1
49.42,28.62,1
49.29,28.61,1
49.19,28.63,1
49.29,28.63,1
49.52,28.63,1
49.55,28.65,1
49.42,28.67,1
49.39,28.67,1
49.36,28.67,1
49.32,28.68,1
49.1,28.68,1
49.16,28.69,1
49.23,28.69,1
49.26,28.69,1
49.36,28.68,1
49.39,28.7,1
49.48,28.69,1
49.55,28.69,1
49.58,28.68,1
49.58,28.69,1
49.58,28.69,1
49.65,28.69,1
49.65,28.69,1
49.65,28.7,1
49.68,28.7,1
49.77,28.69,1
49.87,28.69,1
49.94,28.68,1
49.94,28.67,1
49.94,28.69,1
49.87,28.69,1
49.74,28.69,1
49.68,28.7,1
49.71,28.71,1
49.68,28.69,1
49.71,28.69,1
49.61,28.7,1
49.55,28.69,1
49.48,28.66,1
49.45,28.67,1
49.45,28.68,1
49.45,28.67,1
49.48,28.68,1
49.45,28.69,1
49.48,28.68,1
49.52,28.71,1
49.45,28.71,1
49.42,28.69,1
49.48,28.67,1
49.58,28.67,1
49.61,28.68,1
49.61,28.68,1
49.58,28.68,1
49.61,28.68,1
49.61,28.67,1
49.55,28.66,1
49.52,28.66,1
49.48,28.65,1
49.42,28.64,1
49.26,28.62,1
49.23,28.64,1
49.1,28.65,1
49.03,28.65,1
49.23,28.66,1
49.29,28.64,1
49.29,28.66,1
49.29,28.65,1
49.39,28.65,1
49.42,28.66,1
49.48,28.66,1
49.52,28.64,1
49.55,28.63,1
49.55,28.63,1
49.52,28.63,1
49.39,28.61,1
49.26,28.63,1
49.26,28.62,1
49.29,28.62,1
49.32,28.62,1
49.36,28.6,1
49.39,28.61,1
49.36,28.59,1
49.36,28.6,1
49.36,28.59,1
49.39,28.57,1
49.42,28.56,1
49.48,28.53,1
49.52,28.52,1
49.55,28.5,1
49.61,28.49,1
49.58,28.51,1
49.61,28.5,1
49.61,28.51,1
49.61,28.51,1
49.61,28.52,1
49.65,28.49,1
49.61,28.52,1
49.61,28.53,1
49.61,28.53,1
49.61,28.54,1
49.61,28.55,1
49.61,28.55,1
49.65,28.55,1
49.68,28.54,1
49.71,28.56,1
49.68,28.55,1
49.71,28.55,1
49.74,28.55,1
49.74,28.55,1
49.74,28.56,1
49.77,28.56,1
49.74,28.58,1
49.61,28.58,1
49.48,28.58,1
49.42,28.57,1
49.42,28.57,1
49.42,28.59,1
49.42,28.58,1
49.48,28.55,1
49.61,28.55,1
49.61,28.55,1
49.55,28.54,1
49.61,28.54,1
49.65,28.53,1
49.68,28.54,1
49.68,28.53,1
49.74,28.52,1
49.77,28.52,1
49.84,28.51,1
49.84,28.51,1
49.81,28.49,1
49.74,28.5,1
49.74,28.52,1
49.74,28.53,1
49.71,28.54,1
49.71,28.54,1
49.77,28.56,1
49.81,28.57,1
49.81,28.55,1
49.81,28.55,1
49.84,28.55,1
49.77,28.55,1
49.77,28.53,1
49.68,28.53,1
49.61,28.53,1
49.55,28.52,1
49.55,28.52,1
49.48,28.53,1
49.42,28.54,1
49.32,28.55,1
49.29,28.57,1
49.23,28.57,1
49.16,28.57,1
49.13,28.57,1
49.06,28.57,1
49.1,28.58,1
49.26,28.59,1
49.48,28.6,1
49.52,28.62,1
49.61,28.61,1
49.61,28.61,1
49.61,28.61,1
49.52,28.61,1
49.45,28.61,1
49.42,28.6,1
49.45,28.58,1
49.48,28.59,1
49.42,28.58,1
49.36,28.57,1
49.32,28.58,1
49.36,28.58,1
49.48,28.59,1
49.52,28.61,1
49.52,28.63,1
49.48,28.63,1
49.48,28.65,1
49.39,28.66,1
49.29,28.68,1
49.26,28.67,1
49.32,28.66,1
49.48,28.65,1
49.48,28.64,1
49.45,28.63,1
49.36,28.65,1
49.26,28.64,1
49.19,28.63,1
49.23,28.62,1
49.26,28.62,1
49.29,28.6,1
49.36,28.59,1
49.39,28.59,1
49.42,28.61,1
49.42,28.61,1
49.42,28.62,1
49.39,28.62,1
49.42,28.62,1
49.42,28.63,1
49.39,28.64,1
49.36,28.64,1
49.36,28.65,1
49.42,28.67,1
49.48,28.68,1
49.45,28.69,1
49.42,28.71,1
49.36,28.71,1
49.29,28.7,1
49.26,28.69,1
49.23,28.68,1
49.26,28.68,1
49.29,28.67,1
49.26,28.68,1
49.26,28.66,1
49.23,28.65,1
49.23,28.64,1
49.23,28.64,1
49.23,28.66,1
49.23,28.67,1
49.19,28.66,1
49.16,28.65,1
49.19,28.65,1
49.16,28.65,1
49.19,28.67,1
49.19,28.69,1
49.19,28.71,1
49.23,28.75,1
49.26,28.77,1
49.19,28.8,1
49.16,28.78,1
49.13,28.77,1
49.1,28.77,1
49.03,28.77,1
48.97,28.76,1
48.97,28.76,1
48.94,28.75,1
48.9,28.73,1
48.84,28.72,1
48.84,28.73,1
